"original_language_code","target_language_code","original_term","translated_term","description","kind"
"es","en","Aguere","Aguere","Hostel","name"
"es","fr","Aguere","Aguere","Hostel","name"
"es","de","Aguere","Aguere","Hostel","name"
"es","it","Aguere","Aguere","Hostel","name"
"es","en","Arena Nest","Arena Nest","Hostel","name"
"es","fr","Arena Nest","Arena Nest","Hostel","name"
"es","de","Arena Nest","Arena Nest","Hostel","name"
"es","it","Arena Nest","Arena Nest","Hostel","name"
"es","en","Arena Nests","Arena Nests","Hostel","name"
"es","fr","Arena Nests","Arena Nests","Hostel","name"
"es","de","Arena Nests","Arena Nests","Hostel","name"
"es","it","Arena Nests","Arena Nests","Hostel","name"
"es","en","Ashavana","Ashavana","Hostel","name"
"es","fr","Ashavana","Ashavana","Hostel","name"
"es","de","Ashavana","Ashavana","Hostel","name"
"es","it","Ashavana","Ashavana","Hostel","name"
"es","en","by Nest","by Nest","Hostel Brand","name"
"es","fr","by Nest","by Nest","Hostel Brand","name"
"es","de","by Nest","by Nest","Hostel Brand","name"
"es","it","by Nest","by Nest","Hostel Brand","name"
"es","en","by Nests","by Nests","Hostel Brand","name"
"es","fr","by Nests","by Nests","Hostel Brand","name"
"es","de","by Nests","by Nests","Hostel Brand","name"
"es","it","by Nests","by Nests","Hostel Brand","name"
"es","en","by Nests Hostels","by Nests Hostels","Brand Hostel","name"
"es","fr","by Nests Hostels","by Nests Hostels","Brand Hostel","name"
"es","de","by Nests Hostels","by Nests Hostels","Brand Hostel","name"
"es","it","by Nests Hostels","by Nests Hostels","Brand Hostel","name"
"es","en","Cisne Nest","Cisne Nest","Hostel","name"
"es","fr","Cisne Nest","Cisne Nest","Hostel","name"
"es","de","Cisne Nest","Cisne Nest","Hostel","name"
"es","it","Cisne Nest","Cisne Nest","Hostel","name"
"es","en","Cisne Nests","Cisne Nests","Hostel","name"
"es","fr","Cisne Nests","Cisne Nests","Hostel","name"
"es","de","Cisne Nests","Cisne Nests","Hostel","name"
"es","it","Cisne Nests","Cisne Nests","Hostel","name"
"es","en","Duque","Duque","Hostel","name"
"es","fr","Duque","Duque","Hostel","name"
"es","de","Duque","Duque","Hostel","name"
"es","it","Duque","Duque","Hostel","name"
"es","en","Flamingo Nest","Flamingo Nest","Hostel","name"
"es","fr","Flamingo Nest","Flamingo Nest","Hostel","name"
"es","de","Flamingo Nest","Flamingo Nest","Hostel","name"
"es","it","Flamingo Nest","Flamingo Nest","Hostel","name"
"es","en","Flamingo Nests","Flamingo Nests","Hostel","name"
"es","fr","Flamingo Nests","Flamingo Nests","Hostel","name"
"es","de","Flamingo Nests","Flamingo Nests","Hostel","name"
"es","it","Flamingo Nests","Flamingo Nests","Hostel","name"
"es","en","Flow as you go","Flow as you go","Brand","name"
"es","fr","Flow as you go","Flow as you go","Brand","name"
"es","de","Flow as you go","Flow as you go","Brand","name"
"es","it","Flow as you go","Flow as you go","Brand","name"
"es","en","Las Eras","Las Eras","Hostel","name"
"es","fr","Las Eras","Las Eras","Hostel","name"
"es","de","Las Eras","Las Eras","Hostel","name"
"es","it","Las Eras","Las Eras","Hostel","name"
"es","en","Las Palmas","Las Palmas","Hostel","name"
"es","fr","Las Palmas","Las Palmas","Hostel","name"
"es","de","Las Palmas","Las Palmas","Hostel","name"
"es","it","Las Palmas","Las Palmas","Hostel","name"
"es","en","Los Amigos Nest","Los Amigos Nest","Hostel","name"
"es","fr","Los Amigos Nest","Los Amigos Nest","Hostel","name"
"es","de","Los Amigos Nest","Los Amigos Nest","Hostel","name"
"es","it","Los Amigos Nest","Los Amigos Nest","Hostel","name"
"es","en","Los Amigos Nests","Los Amigos Nests","Hostel","name"
"es","fr","Los Amigos Nests","Los Amigos Nests","Hostel","name"
"es","de","Los Amigos Nests","Los Amigos Nests","Hostel","name"
"es","it","Los Amigos Nests","Los Amigos Nests","Hostel","name"
"es","en","Medano","Medano","","name"
